chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count
dBFA2-Pre-R0-Time0,dBFA2:Pre-R0-0,dBFA2:Pre-R0,dBFA2,Pre,R0,0,705417
dBFA2-Pre-R14-Time0,dBFA2:Pre-R14-0,dBFA2:Pre-R14,dBFA2,Pre,R14,0,170606
dBFA2-SC-R1-Time8,dBFA2:SC-R1-8,dBFA2:SC-R1,dBFA2,SC,R1,8,2030984
dBFA2-SC-R1-Time16,dBFA2:SC-R1-16,dBFA2:SC-R1,dBFA2,SC,R1,16,1787197
dBFA2-SC-R1-Time24,dBFA2:SC-R1-24,dBFA2:SC-R1,dBFA2,SC,R1,24,2214406
dBFA2-SC-R1-Time32,dBFA2:SC-R1-32,dBFA2:SC-R1,dBFA2,SC,R1,32,2048957
dBFA2-SC-R1-Time40,dBFA2:SC-R1-40,dBFA2:SC-R1,dBFA2,SC,R1,40,2538525
dBFA2-SC-R2-Time8,dBFA2:SC-R2-8,dBFA2:SC-R2,dBFA2,SC,R2,8,2333377
dBFA2-SC-R2-Time16,dBFA2:SC-R2-16,dBFA2:SC-R2,dBFA2,SC,R2,16,2763528
dBFA2-SC-R2-Time24,dBFA2:SC-R2-24,dBFA2:SC-R2,dBFA2,SC,R2,24,2412829
dBFA2-SC-R2-Time32,dBFA2:SC-R2-32,dBFA2:SC-R2,dBFA2,SC,R2,32,1877284
dBFA2-SC-R2-Time40,dBFA2:SC-R2-40,dBFA2:SC-R2,dBFA2,SC,R2,40,2261745
dBFA2-SC-R3-Time8,dBFA2:SC-R3-8,dBFA2:SC-R3,dBFA2,SC,R3,8,2093508
dBFA2-SC-R3-Time16,dBFA2:SC-R3-16,dBFA2:SC-R3,dBFA2,SC,R3,16,2986670
dBFA2-SC-R3-Time24,dBFA2:SC-R3-24,dBFA2:SC-R3,dBFA2,SC,R3,24,2339802
dBFA2-SC-R3-Time32,dBFA2:SC-R3-32,dBFA2:SC-R3,dBFA2,SC,R3,32,2229363
dBFA2-SC-R3-Time40,dBFA2:SC-R3-40,dBFA2:SC-R3,dBFA2,SC,R3,40,2608301
dBFA2-T0_Pool-NA-Time0,dBFA2:T0.Pool-NA-0,dBFA2:T0.Pool-NA,dBFA2,T0.Pool,NA,0,15944
dBFA2-YPD-R1-Time8,dBFA2:YPD-R1-8,dBFA2:YPD-R1,dBFA2,YPD,R1,8,3667084
dBFA2-YPD-R1-Time16,dBFA2:YPD-R1-16,dBFA2:YPD-R1,dBFA2,YPD,R1,16,2029400
dBFA2-YPD-R1-Time24,dBFA2:YPD-R1-24,dBFA2:YPD-R1,dBFA2,YPD,R1,24,2890854
dBFA2-YPD-R1-Time32,dBFA2:YPD-R1-32,dBFA2:YPD-R1,dBFA2,YPD,R1,32,3969331
dBFA2-YPD-R1-Time40,dBFA2:YPD-R1-40,dBFA2:YPD-R1,dBFA2,YPD,R1,40,4089010
dBFA2-YPD-R2-Time8,dBFA2:YPD-R2-8,dBFA2:YPD-R2,dBFA2,YPD,R2,8,2607746
dBFA2-YPD-R2-Time16,dBFA2:YPD-R2-16,dBFA2:YPD-R2,dBFA2,YPD,R2,16,3304888
dBFA2-YPD-R2-Time24,dBFA2:YPD-R2-24,dBFA2:YPD-R2,dBFA2,YPD,R2,24,2167245
dBFA2-YPD-R2-Time32,dBFA2:YPD-R2-32,dBFA2:YPD-R2,dBFA2,YPD,R2,32,3447171
dBFA2-YPD-R2-Time40,dBFA2:YPD-R2-40,dBFA2:YPD-R2,dBFA2,YPD,R2,40,2343277
dBFA2-YPD-R3-Time8,dBFA2:YPD-R3-8,dBFA2:YPD-R3,dBFA2,YPD,R3,8,3271239
dBFA2-YPD-R3-Time16,dBFA2:YPD-R3-16,dBFA2:YPD-R3,dBFA2,YPD,R3,16,1872673
dBFA2-YPD-R3-Time24,dBFA2:YPD-R3-24,dBFA2:YPD-R3,dBFA2,YPD,R3,24,2164083
dBFA2-YPD-R3-Time32,dBFA2:YPD-R3-32,dBFA2:YPD-R3,dBFA2,YPD,R3,32,3590978
dBFA2-YPD-R3-Time40,dBFA2:YPD-R3-40,dBFA2:YPD-R3,dBFA2,YPD,R3,40,2554419
dBFA2-pH3_8-R1-Time8,dBFA2:pH3.8-R1-8,dBFA2:pH3.8-R1,dBFA2,pH3.8,R1,8,1875085
dBFA2-pH3_8-R1-Time16,dBFA2:pH3.8-R1-16,dBFA2:pH3.8-R1,dBFA2,pH3.8,R1,16,1876030
dBFA2-pH3_8-R1-Time24,dBFA2:pH3.8-R1-24,dBFA2:pH3.8-R1,dBFA2,pH3.8,R1,24,2675674
dBFA2-pH3_8-R1-Time32,dBFA2:pH3.8-R1-32,dBFA2:pH3.8-R1,dBFA2,pH3.8,R1,32,1298899
dBFA2-pH3_8-R1-Time40,dBFA2:pH3.8-R1-40,dBFA2:pH3.8-R1,dBFA2,pH3.8,R1,40,1113979
dBFA2-pH3_8-R2-Time8,dBFA2:pH3.8-R2-8,dBFA2:pH3.8-R2,dBFA2,pH3.8,R2,8,2176317
dBFA2-pH3_8-R2-Time16,dBFA2:pH3.8-R2-16,dBFA2:pH3.8-R2,dBFA2,pH3.8,R2,16,4025301
dBFA2-pH3_8-R2-Time24,dBFA2:pH3.8-R2-24,dBFA2:pH3.8-R2,dBFA2,pH3.8,R2,24,3751966
dBFA2-pH3_8-R2-Time32,dBFA2:pH3.8-R2-32,dBFA2:pH3.8-R2,dBFA2,pH3.8,R2,32,2373038
dBFA2-pH3_8-R2-Time40,dBFA2:pH3.8-R2-40,dBFA2:pH3.8-R2,dBFA2,pH3.8,R2,40,2482949
dBFA2-pH3_8-R3-Time8,dBFA2:pH3.8-R3-8,dBFA2:pH3.8-R3,dBFA2,pH3.8,R3,8,2073105
dBFA2-pH3_8-R3-Time16,dBFA2:pH3.8-R3-16,dBFA2:pH3.8-R3,dBFA2,pH3.8,R3,16,2146997
dBFA2-pH3_8-R3-Time24,dBFA2:pH3.8-R3-24,dBFA2:pH3.8-R3,dBFA2,pH3.8,R3,24,2678969
dBFA2-pH3_8-R3-Time32,dBFA2:pH3.8-R3-32,dBFA2:pH3.8-R3,dBFA2,pH3.8,R3,32,2415456
dBFA2-pH3_8-R3-Time40,dBFA2:pH3.8-R3-40,dBFA2:pH3.8-R3,dBFA2,pH3.8,R3,40,3147405
