kinsler_sample_label,sample,assay,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
1.6%-R2-T2,1.6%Gluc-R2-T2,1.6%Gluc-R2,1.6%Gluc,2,2,254212.0,0.02199251508058178,451.15909090909093
1.6%-R2-T3,1.6%Gluc-R2-T3,1.6%Gluc-R2,1.6%Gluc,2,3,250512.0,0.009794533691115607,350.1363636363636
1.6%-R2-T4,1.6%Gluc-R2-T4,1.6%Gluc-R2,1.6%Gluc,2,4,318062.0,0.005892148456237969,337.4318181818182
GG0,1.5%Suc1%Raf-R1-T0,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,0,2759565.0,-0.005830969651884724,
GG1,1.5%Suc1%Raf-R1-T1,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,1,1570471.0,-0.010972376821359405,1665.7142857142858
GG2,1.5%Suc1%Raf-R1-T2,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,2,383177.0,-0.017561037450462485,352.09090909090907
GG3,1.5%Suc1%Raf-R1-T3,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,3,313867.0,-0.0013413210932472933,262.0681818181818
GG4,1.5%Suc1%Raf-R1-T4,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,4,480985.0,0.0012280374402350808,454.4025974025974
G0,1.4%Gluc-R1-T0,1.4%Gluc-R1,1.4%Gluc,1,0,674820.0,0.005506026588727584,
G1,1.4%Gluc-R1-T1,1.4%Gluc-R1,1.4%Gluc,1,1,4194734.0,0.0007130563149655803,4317.116022099448
G2,1.4%Gluc-R1-T2,1.4%Gluc-R1,1.4%Gluc,1,2,2309670.0,-0.01250462166782677,1503.7154696132598
G3,1.4%Gluc-R1-T3,1.4%Gluc-R1,1.4%Gluc,1,3,425111.0,-0.002542286374122422,179.11602209944752
G4,1.4%Gluc-R1-T4,1.4%Gluc-R1,1.4%Gluc,1,4,1463723.0,0.007623405170911593,404.414364640884
H0,1.4%Gluc-R2-T0,1.4%Gluc-R2,1.4%Gluc,2,0,717207.0,-0.007947561795748516,
H1,1.4%Gluc-R2-T1,1.4%Gluc-R2,1.4%Gluc,2,1,3729423.0,-0.014361358461762341,3538.2944444444443
H2,1.4%Gluc-R2-T2,1.4%Gluc-R2,1.4%Gluc,2,2,2039149.0,0.0025362548162747934,1269.4666666666667
H3,1.4%Gluc-R2-T3,1.4%Gluc-R2,1.4%Gluc,2,3,275327.0,0.017979308360332975,109.25833333333334
H4,1.4%Gluc-R2-T4,1.4%Gluc-R2,1.4%Gluc,2,4,757201.0,-0.0026801700904440814,185.1861111111111
P0,0.5MKCl-R1-T0,0.5MKCl-R1,0.5MKCl,1,0,4207398.0,-0.004439572338613787,
P1,0.5MKCl-R1-T1,0.5MKCl-R1,0.5MKCl,1,1,4060418.0,0.0029549634312668964,7446.9807692307695
P2,0.5MKCl-R1-T2,0.5MKCl-R1,0.5MKCl,1,2,2173275.0,0.017162182690654698,3718.108974358974
P3,0.5MKCl-R1-T3,0.5MKCl-R1,0.5MKCl,1,3,355146.0,-0.003375408686332905,556.4326923076923
P4,0.5MKCl-R1-T4,0.5MKCl-R1,0.5MKCl,1,4,565008.0,0.0015025636022430076,862.8461538461538
AA0,0.5%Raf-R1-T0,0.5%Raf-R1,0.5%Raf,1,0,3646680.0,0.0030262605264003446,
AA1,0.5%Raf-R1-T1,0.5%Raf-R1,0.5%Raf,1,1,2502245.0,-0.023421579068201623,2174.372549019608
AA2,0.5%Raf-R1-T2,0.5%Raf-R1,0.5%Raf,1,2,5251704.0,-0.003808886636329902,2930.5042016806724
AA3,0.5%Raf-R1-T3,0.5%Raf-R1,0.5%Raf,1,3,424928.0,0.00281263404025718,156.80112044817926
AA4,0.5%Raf-R1-T4,0.5%Raf-R1,0.5%Raf,1,4,719696.0,-0.0116266626817165,186.80392156862746
BB0,0.5%Raf-R2-T0,0.5%Raf-R2,0.5%Raf,2,0,3653383.0,0.006782222106246588,
BB1,0.5%Raf-R2-T1,0.5%Raf-R2,0.5%Raf,2,1,2911053.0,0.0018042261976486378,2603.124645892351
BB2,0.5%Raf-R2-T2,0.5%Raf-R2,0.5%Raf,2,2,2661220.0,0.0026735054383310343,1419.385269121813
BB3,0.5%Raf-R2-T3,0.5%Raf-R2,0.5%Raf,2,3,406893.0,-0.0006425693890601254,141.6373937677054
BB4,0.5%Raf-R2-T4,0.5%Raf-R2,0.5%Raf,2,4,551741.0,-0.0059162914617509315,142.96600566572238
O0,0.2MKCl-R1-T0,0.2MKCl-R1,0.2MKCl,1,0,4797684.0,0.0059374183446363055,
O1,0.2MKCl-R1-T1,0.2MKCl-R1,0.2MKCl,1,1,2930331.0,-0.012368984321743156,4282.053370786517
O2,0.2MKCl-R1-T2,0.2MKCl-R1,0.2MKCl,1,2,2883775.0,-0.016742682250689585,3981.6432584269664
O3,0.2MKCl-R1-T3,0.2MKCl-R1,0.2MKCl,1,3,296368.0,-0.0011344127438608638,387.3426966292135
O4,0.2MKCl-R1-T4,0.2MKCl-R1,0.2MKCl,1,4,720167.0,0.0003824209330019713,956.3286516853933
